"gt","group","estimates","model","direction","threshold"
550,2,563.467504874071,"NB","forward",0.1
94,5,109.312219714013,"NB","forward",0.1
9206,1,9162.75746373272,"poisson","backward",0.05
1677,4,1699.37941927823,"poisson","backward",0.05
586,3,561.381156996963,"poisson","backward",0.05
550,2,567.467890940115,"poisson","backward",0.05
94,5,114.292205832208,"poisson","backward",0.05
9206,1,9165.7362681218,"NB","backward",0.05
1677,4,1699.04933478071,"NB","backward",0.05
586,3,561.208444851467,"NB","backward",0.05
550,2,567.37761582096,"NB","backward",0.05
94,5,86.2887923374908,"NB","backward",0.05
9206,1,9162.75746373272,"poisson","backward",0.1
1677,4,1699.37941927823,"poisson","backward",0.1
586,3,561.381156996963,"poisson","backward",0.1
550,2,567.467890940115,"poisson","backward",0.1
94,5,114.292205832208,"poisson","backward",0.1
9206,1,9165.7362681218,"NB","backward",0.1
1677,4,1699.04933478071,"NB","backward",0.1
586,3,561.208444851467,"NB","backward",0.1
550,2,567.37761582096,"NB","backward",0.1
94,5,86.2887923374908,"NB","backward",0.1
9206,1,9129.35194196068,"poisson","both",0.05
1677,4,1677.54266209206,"poisson","both",0.05
586,3,544.109418010832,"poisson","both",0.05
550,2,563.46989871976,"poisson","both",0.05
94,5,109.314752952297,"poisson","both",0.05
9206,1,9131.14556698077,"NB","both",0.05
1677,4,1677.41090725577,"NB","both",0.05
586,3,544.120457149288,"NB","both",0.05
550,2,563.467504874071,"NB","both",0.05
94,5,109.312219714013,"NB","both",0.05
9206,1,9129.35194196068,"poisson","both",0.1
1677,4,1677.54266209206,"poisson","both",0.1
586,3,544.109418010832,"poisson","both",0.1
550,2,563.46989871976,"poisson","both",0.1
94,5,109.314752952297,"poisson","both",0.1
9206,1,9131.14556698077,"NB","both",0.1
1677,4,1677.41090725577,"NB","both",0.1
586,3,544.120457149288,"NB","both",0.1
550,2,563.467504874071,"NB","both",0.1
94,5,109.312219714013,"NB","both",0.1
9206,1,9123.64519708466,"poisson","forward",0.05
1677,4,1691.55835207895,"poisson","forward",0.05
586,3,545.462323970086,"poisson","forward",0.05
550,2,561.170058765174,"poisson","forward",0.05
94,5,105.34658975873,"poisson","forward",0.05
9206,1,9132.11866446945,"NB","forward",0.05
1677,4,1691.50094771505,"NB","forward",0.05
586,3,545.453299312181,"NB","forward",0.05
550,2,561.184463565894,"NB","forward",0.05
94,5,105.342009742325,"NB","forward",0.05
9206,1,9123.64519708466,"poisson","forward",0.1
1677,4,1691.55835207895,"poisson","forward",0.1
586,3,545.462323970086,"poisson","forward",0.1
550,2,561.170058765174,"poisson","forward",0.1
94,5,105.34658975873,"poisson","forward",0.1
9206,1,9132.11866446945,"NB","forward",0.1
1677,4,1691.50094771505,"NB","forward",0.1
586,3,545.453299312181,"NB","forward",0.1
550,2,561.184463565894,"NB","forward",0.1
94,5,105.342009742325,"NB","forward",0.1
9206,1,9156.13878930749,"poisson","backward",0.05
1677,4,1691.55835207895,"poisson","backward",0.05
586,3,553.233485157115,"poisson","backward",0.05
550,2,559.536603099265,"poisson","backward",0.05
94,5,109.115919495188,"poisson","backward",0.05
9206,1,9157.7059125162,"NB","backward",0.05
1677,4,1691.50094771505,"NB","backward",0.05
586,3,553.275371413069,"NB","backward",0.05
550,2,559.525844608167,"NB","backward",0.05
94,5,93.9491910469619,"NB","backward",0.05
9206,1,9156.13878930749,"poisson","backward",0.1
1677,4,1691.55835207895,"poisson","backward",0.1
586,3,553.233485157115,"poisson","backward",0.1
550,2,559.536603099265,"poisson","backward",0.1
94,5,109.115919495188,"poisson","backward",0.1
9206,1,9157.7059125162,"NB","backward",0.1
1677,4,1691.50094771505,"NB","backward",0.1
586,3,553.275371413069,"NB","backward",0.1
550,2,559.525844608167,"NB","backward",0.1
94,5,93.9491910469619,"NB","backward",0.1
9206,1,9123.64519708466,"poisson","both",0.05
1677,4,1691.55835207895,"poisson","both",0.05
586,3,545.462323970086,"poisson","both",0.05
550,2,561.170058765174,"poisson","both",0.05
94,5,105.34658975873,"poisson","both",0.05
9206,1,9132.11866446945,"NB","both",0.05
1677,4,1691.50094771505,"NB","both",0.05
586,3,545.453299312181,"NB","both",0.05
550,2,561.184463565894,"NB","both",0.05
94,5,105.342009742325,"NB","both",0.05
9206,1,9123.64519708466,"poisson","both",0.1
1677,4,1691.55835207895,"poisson","both",0.1
586,3,545.462323970086,"poisson","both",0.1
550,2,561.170058765174,"poisson","both",0.1
94,5,105.34658975873,"poisson","both",0.1
9206,1,9132.11866446945,"NB","both",0.1
1677,4,1691.50094771505,"NB","both",0.1
586,3,545.453299312181,"NB","both",0.1
550,2,561.184463565894,"NB","both",0.1
94,5,105.342009742325,"NB","both",0.1
9206,1,9177.30182117801,"poisson","forward",0.05
1677,4,1678.63163600568,"poisson","forward",0.05
586,3,540.238822245337,"poisson","forward",0.05
550,2,568.17279316679,"poisson","forward",0.05
94,5,110.486575470241,"poisson","forward",0.05
9206,1,9177.50236876865,"NB","forward",0.05
1677,4,1678.62883779575,"NB","forward",0.05
586,3,540.245648832325,"NB","forward",0.05
550,2,554.163775375035,"NB","forward",0.05
94,5,110.483451671669,"NB","forward",0.05
9206,1,9177.30182117801,"poisson","forward",0.1
1677,4,1678.63163600568,"poisson","forward",0.1
586,3,540.238822245337,"poisson","forward",0.1
550,2,568.17279316679,"poisson","forward",0.1
94,5,110.486575470241,"poisson","forward",0.1
9206,1,9177.50236876865,"NB","forward",0.1
1677,4,1678.62883779575,"NB","forward",0.1
586,3,540.245648832325,"NB","forward",0.1
550,2,554.163775375035,"NB","forward",0.1
94,5,110.483451671669,"NB","forward",0.1
9206,1,9147.30260526974,"poisson","backward",0.05
1677,4,1681.03995372064,"poisson","backward",0.05
586,3,542.104435470025,"poisson","backward",0.05
550,2,548.720078374426,"poisson","backward",0.05
94,5,101.748932359688,"poisson","backward",0.05
9206,1,9147.66904052726,"NB","backward",0.05
1677,4,1681.05110832812,"NB","backward",0.05
586,3,542.121395545858,"NB","backward",0.05
550,2,548.726519968259,"NB","backward",0.05
94,5,101.739393915479,"NB","backward",0.05
9206,1,9147.30260526974,"poisson","backward",0.1
1677,4,1681.03995372064,"poisson","backward",0.1
586,3,542.104435470025,"poisson","backward",0.1
550,2,548.720078374426,"poisson","backward",0.1
94,5,101.748932359688,"poisson","backward",0.1
9206,1,9147.66904052726,"NB","backward",0.1
1677,4,1681.05110832812,"NB","backward",0.1
586,3,542.121395545858,"NB","backward",0.1
550,2,548.726519968259,"NB","backward",0.1
94,5,101.739393915479,"NB","backward",0.1
9206,1,9177.30182117801,"poisson","both",0.05
1677,4,1678.63163600568,"poisson","both",0.05
586,3,540.238822245337,"poisson","both",0.05
550,2,568.17279316679,"poisson","both",0.05
94,5,110.486575470241,"poisson","both",0.05
9206,1,9177.50236876865,"NB","both",0.05
1677,4,1678.62883779575,"NB","both",0.05
586,3,540.245648832325,"NB","both",0.05
550,2,554.163775375035,"NB","both",0.05
94,5,110.483451671669,"NB","both",0.05
9206,1,9177.30182117801,"poisson","both",0.1
1677,4,1678.63163600568,"poisson","both",0.1
