"Group","average","average_LCI","average_UCI","GT","pct_difference","pct_difference_LCI","pct_difference_UCI"
1,-158.72421638669,-1911.08330962396,1879.59341074586,120325.09,-0.131912817506881,-1.58826667790064,1.56209599406563
2,-252.652294019971,-524.624233936267,488.026721415972,7528.58,-3.35590900302542,-6.96843540131428,6.48232098770249
3,-251.265353809335,-524.678224019622,488.085981762861,7530.03,-3.3368439941054,-6.96781054019203,6.48185972383723
4,-12.2185044518631,-859.196609972449,826.371969178943,22564.99,-0.0541480605657839,-3.80765340455479,3.66218628583014
5,-13.5431201562338,-281.406371444431,235.526247949983,1505.15,-0.89978541382811,-18.6962343583318,15.6480249775758
